,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_boosting_type,params_depth,params_grow_policy,params_iterations,params_l2_leaf_reg,params_learning_rate,params_max_bin,params_random_strength,state
0,0,0.5303807528016372,2023-06-10 16:05:19.590955,2023-06-10 16:05:20.416829,0 days 00:00:00.825874,0.0686213659495432,,8,Depthwise,680,7.2360123985356206e-06,0.006515033653078045,4,87,COMPLETE
1,1,0.5830856743587352,2023-06-10 16:05:20.417465,2023-06-10 16:05:26.309116,0 days 00:00:05.891651,0.47033992822349,Ordered,7,SymmetricTree,365,5.14514946568246e-07,0.0010765740170891346,2,86,COMPLETE
2,2,0.3560302226762775,2023-06-10 16:05:26.309805,2023-06-10 16:05:27.154984,0 days 00:00:00.845179,0.3435205458597775,,4,Depthwise,488,0.5687648307619401,0.00937300998866828,20,63,COMPLETE
3,3,0.4344151184764031,2023-06-10 16:05:27.155736,2023-06-10 16:05:29.132811,0 days 00:00:01.977075,0.04075595908896923,Ordered,5,SymmetricTree,581,10.430643197723128,0.08118693526682673,2,23,COMPLETE
4,4,0.35203414271758154,2023-06-10 16:05:29.133485,2023-06-10 16:05:30.046042,0 days 00:00:00.912557,1.1638747960755882,,9,Depthwise,371,1.7370053156330758,0.05200366168275621,5,96,COMPLETE
5,5,0.6931471805599454,2023-06-10 16:05:30.046727,2023-06-10 16:05:30.596449,0 days 00:00:00.549722,81.7829134782452,,8,Depthwise,930,5.496662222667152e-07,0.23930128108325924,2,92,COMPLETE
6,6,0.5144044331538988,2023-06-10 16:05:30.597146,2023-06-10 16:05:32.919921,0 days 00:00:02.322775,0.33617550234863375,Ordered,8,SymmetricTree,892,1.8685050949199405e-08,0.028850353480955555,10,49,COMPLETE
7,7,0.4174898164519937,2023-06-10 16:05:32.920705,2023-06-10 16:05:33.566191,0 days 00:00:00.645486,0.015872397907772024,,4,Depthwise,493,3.3496993373297834,0.09486006798622895,4,81,COMPLETE
8,8,0.3331474676986029,2023-06-10 16:05:33.566817,2023-06-10 16:05:36.900845,0 days 00:00:03.334028,1.434756997253497,,9,Lossguide,1057,0.039275223697566815,0.0012769807033377902,32,42,COMPLETE
9,9,0.6470672866629312,2023-06-10 16:05:36.901588,2023-06-10 16:05:38.399790,0 days 00:00:01.498202,67.16721457918413,Plain,5,SymmetricTree,639,0.06252849373008908,0.002984289708353582,64,4,COMPLETE
10,10,0.38467843268392676,2023-06-10 16:05:38.400479,2023-06-10 16:05:42.259235,0 days 00:00:03.858756,4.357839551558496,,10,Lossguide,1159,0.004512875877550029,0.0010888636702133135,32,36,COMPLETE
11,11,0.3671937170444752,2023-06-10 16:05:42.259879,2023-06-10 16:05:44.710054,0 days 00:00:02.450175,2.951912034997103,,10,Lossguide,1183,69.73483535618476,0.025246303182623945,5,64,COMPLETE
12,12,0.3473163330792736,2023-06-10 16:05:44.710783,2023-06-10 16:05:46.814414,0 days 00:00:02.103631,2.2724140180935066,,9,Lossguide,854,0.022295586036036017,0.0035706725737481623,32,29,COMPLETE
13,13,0.38492504660636917,2023-06-10 16:05:46.815094,2023-06-10 16:05:49.048432,0 days 00:00:02.233338,8.077986403068198,,9,Lossguide,955,0.001181027126487999,0.003272520850865726,32,25,COMPLETE
14,14,0.3532670545894777,2023-06-10 16:05:49.049035,2023-06-10 16:05:53.174832,0 days 00:00:04.125797,12.902092347502775,,7,Lossguide,820,0.03673504751441955,0.0023494810905798627,32,3,COMPLETE
15,15,0.5182884579293117,2023-06-10 16:05:53.175529,2023-06-10 16:05:54.250973,0 days 00:00:01.075444,1.7250915397522781,,9,Lossguide,1061,0.00013411588375567918,0.007117832583501361,3,38,COMPLETE
16,16,0.36963849277870686,2023-06-10 16:05:54.251585,2023-06-10 16:05:56.217416,0 days 00:00:01.965831,0.8529978596774092,,6,Lossguide,1039,0.0589560326173446,0.0020488756953689164,32,17,COMPLETE
17,17,0.37348654274497545,2023-06-10 16:05:56.218110,2023-06-10 16:05:59.595338,0 days 00:00:03.377228,19.338211408975955,,10,Lossguide,791,0.0004979815338420358,0.004694465622614824,32,51,COMPLETE
18,18,0.38393133653264055,2023-06-10 16:05:59.595939,2023-06-10 16:06:00.768319,0 days 00:00:01.172380,3.523656183025771,,7,Lossguide,1054,0.006679818197212396,0.011482359748772934,10,41,COMPLETE
19,19,0.46660713540368887,2023-06-10 16:06:00.768916,2023-06-10 16:06:02.670816,0 days 00:00:01.901900,0.2455372637030065,,9,Lossguide,753,0.28928005971282184,0.001626684911646184,3,67,COMPLETE
20,20,0.3485504139356426,2023-06-10 16:06:02.671617,2023-06-10 16:06:04.449998,0 days 00:00:01.778381,1.2988296378096444,,8,Lossguide,863,0.22736388632268245,0.004475060016026986,20,27,COMPLETE
21,21,0.3496336765339477,2023-06-10 16:06:04.450720,2023-06-10 16:06:05.725814,0 days 00:00:01.275094,0.9974684831585924,,8,Lossguide,853,0.1825793571193533,0.005415073722549201,20,29,COMPLETE
22,22,0.35416250814282124,2023-06-10 16:06:05.726550,2023-06-10 16:06:07.575121,0 days 00:00:01.848571,1.7866640634399842,,9,Lossguide,990,0.020946664399377993,0.003654396836307913,20,15,COMPLETE
23,23,0.34023769262894066,2023-06-10 16:06:07.575820,2023-06-10 16:06:10.130050,0 days 00:00:02.554230,0.7093217882326625,,8,Lossguide,1117,0.7219646808588023,0.0019152304885377202,64,51,COMPLETE
24,24,0.3300440288132289,2023-06-10 16:06:10.130745,2023-06-10 16:06:13.490947,0 days 00:00:03.360202,0.17880932015849077,,10,Lossguide,1143,1.4418228490411937,0.0016626106854961767,64,50,COMPLETE
25,25,0.31036001563010734,2023-06-10 16:06:13.491655,2023-06-10 16:06:18.340454,0 days 00:00:04.848799,0.1384569382306733,,10,Lossguide,1110,11.821948388394661,0.0016157401842853962,64,54,COMPLETE
26,26,0.31196786086773853,2023-06-10 16:06:18.341165,2023-06-10 16:06:24.135336,0 days 00:00:05.794171,0.11027794748136503,,10,Lossguide,1124,15.604708825214136,0.0011926190835486214,64,57,COMPLETE
27,27,0.3099667909478302,2023-06-10 16:06:24.136203,2023-06-10 16:06:29.853938,0 days 00:00:05.717735,0.13030835236649219,,10,Lossguide,1124,27.39768273346495,0.0015091261642485973,64,59,COMPLETE
