,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
926,926,0.2628178166487258,2023-06-10 19:46:26.406733,2023-06-10 19:46:27.092282,0 days 00:00:00.685549,0.6874866603071843,5,0.7493886291406465,1.5560749373540628,2.8453617983594092e-06,0.2999123982775034,36,16,0.09023402398014385,458,104,COMPLETE
440,440,0.27495640840640306,2023-06-10 19:45:00.515599,2023-06-10 19:45:01.347527,0 days 00:00:00.831928,0.6777357030280142,5,0.7080661157467485,1.3856026489465747,2.6203137137070152e-06,0.19670189827225867,36,21,0.09345807861466592,577,65,COMPLETE
831,831,0.27731821245720534,2023-06-10 19:46:02.118216,2023-06-10 19:46:03.058094,0 days 00:00:00.939878,0.673137167514656,5,0.9206645197944646,1.2405103909833612,2.033252550952327e-05,0.22853769262111992,32,14,0.014779346572950717,594,112,COMPLETE
668,668,0.2816885060575096,2023-06-10 19:45:37.152314,2023-06-10 19:45:37.926889,0 days 00:00:00.774575,0.6887345210197472,5,0.425629616122984,0.9853821141616612,0.07635734128565107,0.20564290463211407,36,19,0.010208880378874699,493,131,COMPLETE
353,353,0.2826132809132906,2023-06-10 19:44:46.189236,2023-06-10 19:44:47.024450,0 days 00:00:00.835214,0.692386638950858,5,0.42618981809397427,1.6411942002481974,1.3969732878874539e-05,0.29850529518843594,36,16,0.07769119863585772,594,101,COMPLETE
177,177,0.2874562354710374,2023-06-10 19:43:45.549175,2023-06-10 19:43:46.353275,0 days 00:00:00.804100,0.6635016439708871,5,0.40286722474760467,3.446474628683611,6.074383303787588e-06,0.29554129505990356,36,19,0.09712608431884472,590,111,COMPLETE
279,279,0.29270131652393666,2023-06-10 19:44:29.809082,2023-06-10 19:44:30.532564,0 days 00:00:00.723482,0.6517642758804633,5,0.41166811340326687,3.6437138219764043,8.846568925162668e-06,0.2588465127867002,36,18,0.07587096568357951,541,104,COMPLETE
182,182,0.2927893220025457,2023-06-10 19:43:48.127214,2023-06-10 19:43:49.003242,0 days 00:00:00.876028,0.6706995535582655,5,0.40118186296087843,0.9105016165364974,2.726760170050995e-06,0.2563395036252578,33,17,0.0955162733308927,592,113,COMPLETE
201,201,0.2939264427392522,2023-06-10 19:43:56.525720,2023-06-10 19:43:57.368818,0 days 00:00:00.843098,0.6610407285556158,5,0.42132898524882195,2.2420975273668833,5.153332002590834e-06,0.23856621539431053,36,18,0.09294944119735445,593,120,COMPLETE
184,184,0.29457822359307667,2023-06-10 19:43:49.851775,2023-06-10 19:43:50.721025,0 days 00:00:00.869250,0.6783191599221625,5,0.4021598012345202,1.5667940147350992,7.757743290185695e-06,0.2666282189580367,36,16,0.09538074954949785,582,112,COMPLETE
206,206,0.2947360859639245,2023-06-10 19:43:58.470074,2023-06-10 19:43:59.286413,0 days 00:00:00.816339,0.6740885189695545,5,0.40079628053084615,2.603462032472697,2.4979294376915865e-05,0.24989594334842188,32,18,0.08928845979271356,596,121,COMPLETE
185,185,0.2954803028804097,2023-06-10 19:43:50.722690,2023-06-10 19:43:51.581494,0 days 00:00:00.858804,0.68073834690758,5,0.4028126344877178,1.5774310023265932,8.803916699403617e-06,0.29767022061954873,36,15,0.0965285550708695,589,114,COMPLETE
205,205,0.29572993654090357,2023-06-10 19:43:57.583337,2023-06-10 19:43:58.468297,0 days 00:00:00.884960,0.672371734514431,5,0.40001864012699745,2.4609044953178496,2.6264574174890258e-06,0.24617888106051064,32,18,0.08867903229491853,611,120,COMPLETE
196,196,0.29753587508933116,2023-06-10 19:43:55.442195,2023-06-10 19:43:56.249080,0 days 00:00:00.806885,0.6571449908568804,5,0.4192624551405799,3.225766111724025,8.850772987045434e-06,0.1822654358632101,36,12,0.09589507488496378,580,119,COMPLETE
364,364,0.298041838014966,2023-06-10 19:44:47.868237,2023-06-10 19:44:48.717625,0 days 00:00:00.849388,0.6714600805878844,5,0.492947108068194,0.5105007901479929,1.2003228391923858e-05,0.2280939228782325,39,22,0.08114012428939318,610,80,COMPLETE
211,211,0.2991112803980105,2023-06-10 19:44:01.114836,2023-06-10 19:44:02.045716,0 days 00:00:00.930880,0.6682919508320111,5,0.425874732839972,2.2184660165882955,1.2150763015645862e-05,0.2520877668921182,36,20,0.09588292120029342,632,118,COMPLETE
265,265,0.29919463494552523,2023-06-10 19:44:27.931192,2023-06-10 19:44:28.815214,0 days 00:00:00.884022,0.75541406344197,6,0.9654433702692891,1.728326640965215,1.5595538862796893e-06,0.19020468611038577,39,17,0.07265004413000761,589,94,COMPLETE
298,298,0.3001130896770888,2023-06-10 19:44:35.875224,2023-06-10 19:44:36.676055,0 days 00:00:00.800831,0.7461881642993515,5,0.5356464162089642,1.150052561547467,7.73996682762665e-06,0.19731137982901564,39,25,0.08495216198536411,530,84,COMPLETE
259,259,0.301036377229113,2023-06-10 19:44:26.739731,2023-06-10 19:44:27.555894,0 days 00:00:00.816163,0.6818288097506168,5,0.980224496338931,1.6166167603138009,6.396683070723853e-06,0.22827917322298502,32,15,0.07266400980152779,553,110,COMPLETE
174,174,0.3025363196274055,2023-06-10 19:43:42.985254,2023-06-10 19:43:43.819740,0 days 00:00:00.834486,0.6494642768558664,5,0.4027919088982391,1.6053665340016408,5.963469426130642e-06,0.18193687118793486,37,16,0.09832404545982186,592,125,COMPLETE
691,691,0.30424922456554854,2023-06-10 19:45:40.501225,2023-06-10 19:45:41.359298,0 days 00:00:00.858073,0.6792894768012806,5,0.410214500286063,1.6273870912982884,0.00019280668848903847,0.26158540108883366,36,17,0.004874500786592316,575,107,COMPLETE
293,293,0.30446821956081666,2023-06-10 19:44:34.233909,2023-06-10 19:44:34.986472,0 days 00:00:00.752563,0.7015690671734587,5,0.5283794981936986,0.7704713481708031,3.9557746856171066e-06,0.226244186109485,36,22,0.08930224542107099,518,75,COMPLETE
224,224,0.30464422871669256,2023-06-10 19:44:18.169069,2023-06-10 19:44:19.110410,0 days 00:00:00.941341,0.6854539480219171,5,0.4391492237108017,1.145348825684532,6.422593622095683e-06,0.17841706807289867,35,16,0.09988507129216158,610,120,COMPLETE
171,171,0.30560942381116485,2023-06-10 19:43:40.642576,2023-06-10 19:43:41.434129,0 days 00:00:00.791553,0.6397879349233684,5,0.41515068474399797,1.9646051101751285,1.279031439605628e-06,0.22799783080718172,49,17,0.09748770062639288,557,132,COMPLETE
290,290,0.3057859281618628,2023-06-10 19:44:32.734030,2023-06-10 19:44:33.391818,0 days 00:00:00.657788,0.6363309136632883,5,0.5293000617611231,1.9182451897985522,3.241913523851497e-06,0.263368742990773,36,22,0.09101354276538053,519,86,COMPLETE
181,181,0.3058165581402035,2023-06-10 19:43:47.245287,2023-06-10 19:43:48.125546,0 days 00:00:00.880259,0.6709014394135243,5,0.40072084746653586,0.9791156703546924,2.6897804826665508e-06,0.2569068728459301,34,17,0.09468864546512312,594,132,COMPLETE
71,71,0.30650590799546173,2023-06-10 19:43:17.502202,2023-06-10 19:43:18.762812,0 days 00:00:01.260610,0.686206491188509,3,0.5408693550507463,0.8337206282093309,9.1688786037158e-07,0.12284769026493485,36,16,0.06552836433032723,593,90,COMPLETE
551,551,0.307108007378618,2023-06-10 19:45:17.124775,2023-06-10 19:45:18.143885,0 days 00:00:01.019110,0.6742866972135244,5,0.4150516242854981,1.544827425633802,9.002076711680403e-07,0.2996053586900783,37,14,0.09335730416264706,619,46,COMPLETE
401,401,0.30815299339899543,2023-06-10 19:44:54.249681,2023-06-10 19:44:55.787198,0 days 00:00:01.537517,0.6783151581879611,7,0.9179103371424974,1.575602063338878,1.3239790651819485e-06,0.22408573884930166,32,21,0.04329845119665689,930,94,COMPLETE
21,21,0.3095374897028366,2023-06-10 19:43:08.244384,2023-06-10 19:43:08.737171,0 days 00:00:00.492787,0.6326050585959072,3,0.4873181196561495,0.9880744811615549,1.9260711007287948e-07,0.13693957528948902,89,16,0.06862678906420654,395,196,COMPLETE
251,251,0.3108256433692303,2023-06-10 19:44:25.336269,2023-06-10 19:44:26.195380,0 days 00:00:00.859111,0.6917833887856875,5,0.4345074739136611,1.2822165661707956,1.7267600655427038e-05,0.2998517569541922,37,14,0.09088627135028776,596,72,COMPLETE
183,183,0.31105782834245227,2023-06-10 19:43:49.004912,2023-06-10 19:43:49.850115,0 days 00:00:00.845203,0.6666158197096509,5,0.401219917871687,1.0262298046216873,2.881595679333884e-06,0.2559063645710073,38,18,0.09669747521419757,597,111,COMPLETE
291,291,0.3119666887829507,2023-06-10 19:44:33.393417,2023-06-10 19:44:34.156924,0 days 00:00:00.763507,0.6975985125589785,5,0.5109636089750216,0.6816132647457166,3.5566230659209434e-06,0.22044143819801,35,24,0.08550529881123763,518,75,COMPLETE
281,281,0.3125337997122306,2023-06-10 19:44:30.609175,2023-06-10 19:44:31.387145,0 days 00:00:00.777970,0.6361696859524407,5,0.4190504384806442,2.0860185019727355,7.781403759170509e-06,0.2660901705882687,36,20,0.07078010864086974,550,93,COMPLETE
734,734,0.31331810242355307,2023-06-10 19:45:47.132741,2023-06-10 19:45:48.084404,0 days 00:00:00.951663,0.6820582842500623,5,0.7481485331825106,0.2995828307665356,0.014583218546745092,0.19971266808017307,36,16,0.022223615260882623,569,95,COMPLETE
231,231,0.31340052578576394,2023-06-10 19:44:19.539595,2023-06-10 19:44:20.475495,0 days 00:00:00.935900,0.67268938123157,5,0.433741884223846,2.4118302702599754,1.0878256938491958e-05,0.24193192755893472,40,18,0.09600004454264409,640,117,COMPLETE
191,191,0.31383122096433264,2023-06-10 19:43:53.594023,2023-06-10 19:43:54.376882,0 days 00:00:00.782859,0.680369511635127,5,0.40241300637689925,1.7553283886529836,4.3446427852516285e-06,0.22123313158036112,32,15,0.09262809218715816,554,118,COMPLETE
18,18,0.31533511943573783,2023-06-10 19:43:07.127232,2023-06-10 19:43:07.484766,0 days 00:00:00.357534,0.6331443891179968,3,0.5255500910265853,0.5572305984219208,1.8054590334538142e-07,0.0875131629913632,63,20,0.04954545656425014,329,200,COMPLETE
286,286,0.3154201966273351,2023-06-10 19:44:31.695000,2023-06-10 19:44:32.504030,0 days 00:00:00.809030,0.6357097484264795,5,0.6736482662952137,2.0502680103172097,1.8566830165531226e-05,0.2625876104341447,40,16,0.09082327612706458,557,91,COMPLETE
553,553,0.3159501331118926,2023-06-10 19:45:18.244378,2023-06-10 19:45:18.992652,0 days 00:00:00.748274,0.6696862944096842,5,0.43022530033691625,1.52325117697559,1.308697940823554e-06,0.26134390466451135,43,15,0.08967169745885291,521,47,COMPLETE
223,223,0.3161699653187966,2023-06-10 19:44:17.106380,2023-06-10 19:44:18.167247,0 days 00:00:01.060867,0.6583553288050297,5,0.42655112304917714,1.3161502344733225,1.2738364008807296e-05,0.1807615587097938,32,17,0.09810404179144827,642,121,COMPLETE
322,322,0.3164160601540591,2023-06-10 19:44:40.047945,2023-06-10 19:44:40.862318,0 days 00:00:00.814373,0.6772963515825335,5,0.48951942849022745,1.3253658315948982,0.00021358750818102306,0.23649538493118222,41,14,0.08960015283571762,550,102,COMPLETE
176,176,0.3165788544307336,2023-06-10 19:43:44.682922,2023-06-10 19:43:45.547489,0 days 00:00:00.864567,0.6646144928735547,5,0.4009541624135312,1.1187373148186408,5.182338086468939e-06,0.2542716051590262,36,19,0.09670501703567831,617,124,COMPLETE
557,557,0.31755482008556546,2023-06-10 19:45:20.883187,2023-06-10 19:45:21.575291,0 days 00:00:00.692104,0.6828662301568793,5,0.7230970524546942,1.2206661313036546,8.019043294683735e-07,0.2998525548772418,32,19,0.09520582566883287,504,139,COMPLETE
122,122,0.31798912937720364,2023-06-10 19:43:29.249148,2023-06-10 19:43:29.687885,0 days 00:00:00.438737,0.6667037080078775,4,0.45053681740711443,2.8305544220511405,1.8790390032138096e-06,0.2024088460210401,108,26,0.049062980014242766,390,200,COMPLETE
992,992,0.3183012739207827,2023-06-10 19:46:36.041794,2023-06-10 19:46:37.019692,0 days 00:00:00.977898,0.6663813960354579,5,0.5243221168217057,0.0008271709033812842,1.1547726998970453,0.18403882363800694,36,14,0.08880768066639097,579,128,COMPLETE
106,106,0.31926067520743046,2023-06-10 19:43:26.074399,2023-06-10 19:43:26.469884,0 days 00:00:00.395485,0.7099271773517275,4,0.46966681147951284,0.5873139813642483,6.834291237942316e-08,0.2550121441816282,74,15,0.05384145598782281,332,215,COMPLETE
214,214,0.3200129708211541,2023-06-10 19:44:03.065488,2023-06-10 19:44:04.118323,0 days 00:00:01.052835,0.6598542338915971,5,0.4254084951040675,2.1301384066874296,1.057350284501534e-05,0.24607210186032052,36,21,0.09761370195678125,681,116,COMPLETE
210,210,0.32066379569828507,2023-06-10 19:44:00.211777,2023-06-10 19:44:01.113148,0 days 00:00:00.901371,0.6720160706627288,5,0.4275959388360049,2.4409007047097355,1.1585407082738812e-05,0.24754777046669793,39,20,0.09574182117524752,633,118,COMPLETE
213,213,0.3215169998765258,2023-06-10 19:44:02.116827,2023-06-10 19:44:03.063817,0 days 00:00:00.946990,0.6631380418550492,5,0.4231255416787014,2.056886200123865,1.274812261840421e-05,0.2220387275988285,38,20,0.09773322448845909,652,129,COMPLETE
621,621,0.32218757876889137,2023-06-10 19:45:30.613688,2023-06-10 19:45:30.727417,0 days 00:00:00.113729,0.7593711179825025,5,0.44546620765837824,3.79967556406168,2.4027380407083565e-06,0.22605438003194295,36,16,0.07560705982078875,615,123,PRUNED
148,148,0.3225662192017903,2023-06-10 19:43:34.593458,2023-06-10 19:43:35.447558,0 days 00:00:00.854100,0.6733987415102798,5,0.45307625744032365,0.4301622191158116,4.688402772885217e-07,0.20053941404235556,56,16,0.09527292738819311,586,132,COMPLETE
17,17,0.3229521537179587,2023-06-10 19:43:06.761895,2023-06-10 19:43:07.126016,0 days 00:00:00.364121,0.614814240522678,3,0.5568461826064753,1.033591425002095,2.1017669154831959e-07,0.09111895575279015,60,18,0.045485901141309105,335,190,COMPLETE
70,70,0.3232671139435702,2023-06-10 19:43:16.493648,2023-06-10 19:43:17.499948,0 days 00:00:01.006300,0.6862848337789024,3,0.5479988320557794,0.08550899995789184,9.597906802391117e-07,0.127161898752519,32,15,0.06601715683182946,600,137,COMPLETE
395,395,0.32354415805180836,2023-06-10 19:44:52.868507,2023-06-10 19:44:53.806688,0 days 00:00:00.938181,0.6550164693870489,5,0.9485492523384442,1.67810306866104,1.1591523190338017e-05,0.2410328167191345,36,20,0.06213860498650068,612,129,COMPLETE
82,82,0.3241596296789127,2023-06-10 19:43:21.740276,2023-06-10 19:43:22.276152,0 days 00:00:00.535876,0.6363228136874406,4,0.48406280318399786,0.6253676586134981,8.546761195344173e-07,0.1722474615855551,95,13,0.05411909914578643,418,136,COMPLETE
338,338,0.3246206892049709,2023-06-10 19:44:42.081723,2023-06-10 19:44:42.973327,0 days 00:00:00.891604,0.6372901211164338,5,0.43624396078073013,0.7660456575075405,2.651491537057136e-06,0.23061762921301315,32,26,0.09748186957595026,612,82,COMPLETE
140,140,0.3248630862620479,2023-06-10 19:43:32.088837,2023-06-10 19:43:32.767858,0 days 00:00:00.679021,0.657405136510887,2,0.46006251814540416,2.1745377945333555,4.5438989978567445e-06,0.2583696483577161,110,20,0.09264126810410088,529,183,COMPLETE
161,161,0.32510622645207526,2023-06-10 19:43:38.599423,2023-06-10 19:43:39.342019,0 days 00:00:00.742596,0.6396076268296784,5,0.40745696028559975,1.8996731477715019,1.6091340719398282e-06,0.220496901306119,50,16,0.09236322969463527,553,132,COMPLETE
221,221,0.32560923593855473,2023-06-10 19:44:16.153459,2023-06-10 19:44:17.035150,0 days 00:00:00.881691,0.6639581204734283,5,0.4234926194135752,2.0443930633314307,3.5466624424263085e-05,0.22269030742340185,37,20,0.09790290907658578,628,126,COMPLETE
208,208,0.3260983362942711,2023-06-10 19:43:59.356341,2023-06-10 19:44:00.140768,0 days 00:00:00.784427,0.6608607274335208,5,0.40216424957987396,2.6996654500903965,6.454595861402639e-06,0.2976885997773129,35,19,0.09073921750662585,566,109,COMPLETE
235,235,0.3264192711811069,2023-06-10 19:44:21.604572,2023-06-10 19:44:22.443322,0 days 00:00:00.838750,0.6879616866313976,5,0.4290643444621807,1.0564904136658837,2.35978423789025e-06,0.29985620717347894,40,14,0.09222195336423511,585,119,COMPLETE
188,188,0.32657853175158136,2023-06-10 19:43:51.723894,2023-06-10 19:43:52.604284,0 days 00:00:00.880390,0.6760204038484,5,0.41715123253927056,0.6169249375241248,6.560382206421701e-06,0.2980430466128588,38,17,0.09825249070015123,594,112,COMPLETE
31,31,0.32683185233938983,2023-06-10 19:43:11.156525,2023-06-10 19:43:11.599574,0 days 00:00:00.443049,0.6830357549450661,3,0.44795139099241227,1.1136512402351257,4.7117846609036254e-07,0.09005461885840707,84,19,0.05647995620167874,382,211,COMPLETE
808,808,0.3268802267250325,2023-06-10 19:45:59.188867,2023-06-10 19:45:59.315957,0 days 00:00:00.127090,0.7491209751707822,5,0.5323148982580023,0.0007431211788382248,0.857370918450374,0.2980165740929559,36,28,0.06161564643352444,610,122,PRUNED
173,173,0.32693615958086464,2023-06-10 19:43:42.117875,2023-06-10 19:43:42.983603,0 days 00:00:00.865728,0.6577305589969472,5,0.4047773353640032,0.9610299976096228,3.5478016177702418e-06,0.1836188608703182,63,19,0.09899685127541162,605,136,COMPLETE
125,125,0.32730451991438275,2023-06-10 19:43:30.599494,2023-06-10 19:43:31.034704,0 days 00:00:00.435210,0.6472265221391075,4,0.542432744302865,5.442040049591675,5.986114461477067e-07,0.23142940604758946,102,17,0.039686220242647265,375,127,COMPLETE
23,23,0.32806091631592704,2023-06-10 19:43:09.158200,2023-06-10 19:43:09.598631,0 days 00:00:00.440431,0.6898636200014783,3,0.45186810287089696,1.261411506885345,5.866719944675294e-07,0.08218150198300823,83,17,0.05373294494118375,383,221,COMPLETE
903,903,0.3284062331697579,2023-06-10 19:46:22.390934,2023-06-10 19:46:22.527283,0 days 00:00:00.136349,0.6443972107835861,5,0.7040729649270185,1.1074080689485435,1.5086125577512159e-05,0.2253250067716811,32,26,0.027639926760471917,574,119,PRUNED
347,347,0.3287786604185893,2023-06-10 19:44:44.445335,2023-06-10 19:44:45.788032,0 days 00:00:01.342697,0.6873237937444959,5,0.507658314478555,1.791219492963731,3.1193246287337147e-06,0.22587992626525724,43,17,0.09026105725086109,827,97,COMPLETE
585,585,0.32892136776968933,2023-06-10 19:45:25.964250,2023-06-10 19:45:26.891918,0 days 00:00:00.927668,0.6949652730216286,4,0.9800008593124926,1.9508597925695597,6.270127588112062e-05,0.26097257773731075,35,16,0.09223235687253893,593,109,COMPLETE
244,244,0.3294837367849476,2023-06-10 19:44:23.863961,2023-06-10 19:44:24.836602,0 days 00:00:00.972641,0.6859904767816991,5,0.43403625494551484,1.319488588391032,2.1849617571394282e-05,0.22224535056594572,41,16,0.06988668213419855,665,122,COMPLETE
42,42,0.33014592559556377,2023-06-10 19:43:12.579363,2023-06-10 19:43:13.078199,0 days 00:00:00.498836,0.6590989135107423,3,0.4748365405906786,0.8853127844041603,5.821650983358155e-07,0.14636111233212065,74,16,0.05360330954184176,404,229,COMPLETE
6,6,0.330770830225305,2023-06-10 19:42:57.630881,2023-06-10 19:42:58.837905,0 days 00:00:01.207024,0.6374378492466316,4,0.4853882622876469,1.7150855788430885,0.0007072551245454735,0.1439743151567586,98,7,0.09217425756586901,803,179,COMPLETE
532,532,0.3308537788882081,2023-06-10 19:45:14.397745,2023-06-10 19:45:15.344333,0 days 00:00:00.946588,0.8174845980535526,4,0.6234287844524206,1.3796286352929483,7.766873025664851e-07,0.2980456194076867,114,22,0.0889257665496895,598,75,COMPLETE
194,194,0.33125334126819317,2023-06-10 19:43:54.530818,2023-06-10 19:43:55.370030,0 days 00:00:00.839212,0.7072982087076181,5,0.4305377810276001,1.2446248696568372,3.0852763753161003e-06,0.20400813487336736,40,14,0.09117720916174034,597,123,COMPLETE
216,216,0.33168765103278164,2023-06-10 19:44:04.188812,2023-06-10 19:44:14.730700,0 days 00:00:10.541888,0.6827883392607997,5,0.4321098408124299,2.6175259970214264,8.846858009013323e-06,0.27353551190046094,43,19,0.0971247441468563,641,95,COMPLETE
175,175,0.3317019996164131,2023-06-10 19:43:43.821390,2023-06-10 19:43:44.681258,0 days 00:00:00.859868,0.6536808288868712,5,0.41516247168713866,1.7652451514889103,3.8037853844683993e-06,0.19585801079637835,40,15,0.09984641311170969,602,137,COMPLETE
19,19,0.33242483072626544,2023-06-10 19:43:07.485986,2023-06-10 19:43:07.875023,0 days 00:00:00.389037,0.7069912801828472,2,0.5520141087389898,0.19100835138941116,1.647059500176347e-07,0.08616348142445793,66,25,0.04315023910805449,301,197,COMPLETE
149,149,0.33319010127984094,2023-06-10 19:43:35.449184,2023-06-10 19:43:36.267154,0 days 00:00:00.817970,0.641323472413566,5,0.40348685980698024,1.7954295514342213,1.443421576849523e-06,0.21391582321077932,48,16,0.09146147439185302,559,134,COMPLETE
632,632,0.3335081605912057,2023-06-10 19:45:31.812126,2023-06-10 19:45:31.924541,0 days 00:00:00.112415,0.68357521967915,5,0.46771732296979984,0.8596103186113233,1.000816328930185e-06,0.25849819178552463,32,22,0.01317882874908903,613,144,PRUNED
53,53,0.3335544754145006,2023-06-10 19:43:14.499061,2023-06-10 19:43:14.694234,0 days 00:00:00.195173,0.6353894147878708,3,0.5340606601477111,1.2889868660024977,1.2224681007682766e-07,0.29745923339762037,52,6,0.05633328665330819,364,210,PRUNED
241,241,0.3338613465498729,2023-06-10 19:44:22.821742,2023-06-10 19:44:23.710734,0 days 00:00:00.888992,0.6744756066108385,5,0.4260290848387317,2.1050480189129273,1.4560382881682075e-05,0.2567045276757945,39,20,0.09541703379774935,636,119,COMPLETE
305,305,0.334003164820722,2023-06-10 19:44:37.150936,2023-06-10 19:44:38.027568,0 days 00:00:00.876632,0.7170736650125105,6,0.5532383619149074,0.9405410141226036,5.024341867692691e-06,0.26185377968325346,32,22,0.0897035126737626,584,70,COMPLETE
626,626,0.3342269418260953,2023-06-10 19:45:31.160830,2023-06-10 19:45:31.274545,0 days 00:00:00.113715,0.693197871254207,5,0.9506303272302851,0.02171263413356707,3.8805155999211355e-06,0.2565089808094579,47,28,0.05918539912308167,500,92,PRUNED
54,54,0.3350380181750277,2023-06-10 19:43:14.695795,2023-06-10 19:43:15.252620,0 days 00:00:00.556825,0.6707242302215637,4,0.4704505074444809,3.9879801690415593,9.234715241280875e-07,0.15188655484535407,60,25,0.048586753731383374,447,219,COMPLETE
110,110,0.3352209950448021,2023-06-10 19:43:27.130940,2023-06-10 19:43:28.438655,0 days 00:00:01.307715,0.6547583152096694,3,0.4527658041587186,1.9606790438445083,5.824678132568946e-07,0.1703856578798902,79,12,0.046997160898071134,779,224,COMPLETE
142,142,0.3353917962769185,2023-06-10 19:43:32.839695,2023-06-10 19:43:33.848329,0 days 00:00:01.008634,0.6886041072548236,2,0.44936779614773675,1.120889993315055,1.2961440561271165e-06,0.2949461133187389,124,20,0.09279701219001169,642,175,COMPLETE
