,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
3740,3740,0.2534810861694131,2023-06-10 18:57:03.139979,2023-06-10 18:57:03.700880,0 days 00:00:00.560901,0.9341138590245841,6,0.6318153833537126,3.3256397724691676e-07,2.9233761930056452e-06,0.2998245574788701,74,66,0.05679676308075535,496,191,COMPLETE
4866,4866,0.253830977645366,2023-06-10 19:08:17.079758,2023-06-10 19:08:17.777263,0 days 00:00:00.697505,0.930609878827274,5,0.9774886758847093,9.986038700371547e-08,1.3923593261427095e-08,0.2990007800001445,70,57,0.07217641583220058,369,203,COMPLETE
3633,3633,0.2552648085169647,2023-06-10 18:56:04.134388,2023-06-10 18:56:10.347210,0 days 00:00:06.212822,0.9342324428129373,6,0.665123232697104,1.4453663455228517e-08,1.1088340752797535e-06,0.25562975879693534,66,66,0.008081596769098223,462,185,COMPLETE
4309,4309,0.2562256317253098,2023-06-10 19:02:22.250084,2023-06-10 19:02:22.874774,0 days 00:00:00.624690,0.971319861299095,6,0.6400476402395839,0.13935704657275227,0.0937125621469629,0.2566984622234369,57,61,0.04810813043671374,482,210,COMPLETE
3984,3984,0.25635824888782366,2023-06-10 18:59:12.794186,2023-06-10 18:59:13.390886,0 days 00:00:00.596700,0.9322408451688361,6,0.6753187334909857,0.003990020136775549,0.00013990823966620835,0.29940730571588375,32,65,0.09703252950246076,492,206,COMPLETE
3678,3678,0.2566168347028374,2023-06-10 18:56:32.193052,2023-06-10 18:56:32.745277,0 days 00:00:00.552225,0.9476465404921519,6,0.6561616059287689,2.4585371506225847e-08,0.0012775239702819416,0.299130472853909,56,65,0.06680264085588625,462,187,COMPLETE
3053,3053,0.2571172896276103,2023-06-10 18:51:35.256905,2023-06-10 18:51:35.728185,0 days 00:00:00.471280,0.9517131380988232,3,0.9463094023983797,9.58426015326583e-07,5.017173091694787e-08,0.29983821475474376,60,73,0.0023395166866348044,462,212,COMPLETE
3123,3123,0.25850795668558313,2023-06-10 18:52:03.365225,2023-06-10 18:52:03.772149,0 days 00:00:00.406924,0.9504052948499504,5,0.925315692788538,0.016618465416569677,0.00010921318697672876,0.25758871777880527,61,71,0.018433027528221194,426,200,COMPLETE
142,142,0.2586469358306253,2023-06-10 18:40:21.027516,2023-06-10 18:40:21.137326,0 days 00:00:00.109810,0.9639796661850251,3,0.955986257973764,3.009143658977693e-08,0.044294228889314745,0.22216758782372834,60,81,0.052879367214249164,325,244,COMPLETE
4063,4063,0.258782753558859,2023-06-10 18:59:55.002639,2023-06-10 18:59:55.611825,0 days 00:00:00.609186,0.9609498225935925,6,0.6164067427361064,2.3466533133008007e-06,0.0001116331571880452,0.2316412812135838,39,60,0.004064262055340285,501,206,COMPLETE
