,number,value,datetime_start,datetime_complete,duration,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_bin,params_min_child_samples,params_min_sum_hessian_in_leaf,params_n_estimators,params_num_leaves,state
1949,1949,0.22620928541896543,2023-06-10 17:51:36.043139,2023-06-10 17:51:36.389282,0 days 00:00:00.346143,7,0.7050813882774798,0.036568651409627645,0.00047490838972062953,0.2592888351624025,40,17,0.09266564361286563,566,133,COMPLETE
2386,2386,0.22851776506057728,2023-06-10 17:53:29.983417,2023-06-10 17:53:30.324462,0 days 00:00:00.341045,4,0.7050822073154549,0.557214316879249,0.008094294093004611,0.2326700228588011,47,14,0.025434153217830657,573,113,COMPLETE
3050,3050,0.23334045715041016,2023-06-10 17:57:04.109037,2023-06-10 17:57:04.561908,0 days 00:00:00.452871,4,0.8175075028188993,0.700151468315869,2.6727890620373916e-08,0.20604656465911608,48,14,0.03142838967145078,677,130,COMPLETE
2112,2112,0.23431407315748315,2023-06-10 17:52:16.620432,2023-06-10 17:52:16.904964,0 days 00:00:00.284532,4,0.6891255647759611,0.0004913495487788796,1.4140134390407462e-08,0.2583310322505067,41,16,0.013786924419899899,613,127,COMPLETE
4291,4291,0.23460999993817777,2023-06-10 18:06:23.948031,2023-06-10 18:06:24.549446,0 days 00:00:00.601415,4,0.9885254180495121,0.9839420943974186,8.003426659972075e-07,0.2618489220544628,44,16,0.014323991604727145,686,125,COMPLETE
522,522,0.23853605773625222,2023-06-10 17:47:40.453312,2023-06-10 17:47:40.608059,0 days 00:00:00.154747,3,0.8404217614445315,6.703452989065964e-05,0.0027943749861071196,0.22005860084385387,179,19,0.04617086907792928,685,244,COMPLETE
4743,4743,0.23947723484299202,2023-06-10 18:10:34.639486,2023-06-10 18:10:35.267045,0 days 00:00:00.627559,4,0.9780774017069824,2.220746825861888e-06,6.947287708303877e-07,0.29969390105172267,51,21,0.06266073484053089,534,141,COMPLETE
2187,2187,0.23977940580487722,2023-06-10 17:52:36.329181,2023-06-10 17:52:36.616210,0 days 00:00:00.287029,4,0.9338099789348188,0.0001511642096051943,1.3866565223697231,0.2593452594550821,41,18,0.08315318735897419,463,139,COMPLETE
2694,2694,0.24037718252195836,2023-06-10 17:55:02.315555,2023-06-10 17:55:02.742165,0 days 00:00:00.426610,3,0.7378070363123813,0.020403342934433712,0.13030751810889601,0.17592499989743912,190,10,0.023980651890931078,552,115,COMPLETE
2412,2412,0.2405288446261394,2023-06-10 17:53:37.378456,2023-06-10 17:53:37.769170,0 days 00:00:00.390714,4,0.911038799643274,0.24424954757282238,3.300836858634132e-08,0.20328750844386959,59,18,0.06420213479096057,639,108,COMPLETE
1512,1512,0.24209398519125824,2023-06-10 17:50:01.896327,2023-06-10 17:50:02.114787,0 days 00:00:00.218460,4,0.8653205013693117,0.0653182352155255,5.0417853141397275,0.2995452195320177,85,12,0.009974819441562342,680,117,COMPLETE
919,919,0.24305209272420075,2023-06-10 17:48:27.429295,2023-06-10 17:48:27.592524,0 days 00:00:00.163229,4,0.7499502609371619,0.00011693986748437769,1.6220081558871788,0.299136188156845,88,11,0.06998371569268652,667,147,COMPLETE
1159,1159,0.2443118554036719,2023-06-10 17:49:01.477454,2023-06-10 17:49:01.681065,0 days 00:00:00.203611,4,0.699204883425436,0.061647803561805964,1.8044826946441512,0.26020135495940927,41,17,0.028706799536237088,672,27,COMPLETE
1155,1155,0.24435125710859906,2023-06-10 17:49:00.818157,2023-06-10 17:49:01.036053,0 days 00:00:00.217896,4,0.714284978328574,0.04964743760266015,0.3403929655800774,0.2335688141011566,43,17,0.027571039723473724,673,34,COMPLETE
1936,1936,0.24474160353445507,2023-06-10 17:51:32.986935,2023-06-10 17:51:33.265784,0 days 00:00:00.278849,7,0.7012933103518294,4.166990700971618e-05,1.8907692178109803e-06,0.23522684378286868,35,17,0.08731697156677262,572,132,COMPLETE
2988,2988,0.24480287435823284,2023-06-10 17:56:41.950693,2023-06-10 17:56:42.403864,0 days 00:00:00.453171,5,0.8952844433993916,0.0003659465193568342,2.318134770161922e-08,0.26131382531019137,63,13,0.00626138203121267,625,102,COMPLETE
2703,2703,0.24541108077156926,2023-06-10 17:55:05.256728,2023-06-10 17:55:05.607027,0 days 00:00:00.350299,3,0.7453207711584335,0.0262303410661632,0.19149031304701186,0.22093836494989025,189,13,0.024954615070883167,530,117,COMPLETE
1078,1078,0.24570518000975872,2023-06-10 17:48:49.505028,2023-06-10 17:48:49.693370,0 days 00:00:00.188342,4,0.945187755178955,4.3548935088059634e-08,1.0992894511514173e-08,0.25958990022903544,51,21,0.07343740405174025,663,139,COMPLETE
680,680,0.24612756214345227,2023-06-10 17:47:57.235992,2023-06-10 17:47:57.398045,0 days 00:00:00.162053,4,0.9696735404934781,0.00010862349840476644,0.0003448895764436638,0.2297976060149876,105,18,0.06708503158485254,595,105,COMPLETE
126,126,0.24613542544944253,2023-06-10 17:47:05.817273,2023-06-10 17:47:05.933460,0 days 00:00:00.116187,3,0.7657507908796016,0.0001654142638229128,1.0931306706629547e-06,0.19775483684958733,175,24,0.037261216641155046,627,129,COMPLETE
103,103,0.2468353186055523,2023-06-10 17:47:03.832056,2023-06-10 17:47:04.071318,0 days 00:00:00.239262,5,0.8019141387990459,1.3268583767544754e-05,1.2596575097215734e-07,0.2546660381550815,139,28,0.04256149475450352,595,153,COMPLETE
1308,1308,0.24693196533532502,2023-06-10 17:49:25.469364,2023-06-10 17:49:25.683727,0 days 00:00:00.214363,4,0.6311865460289017,1.1003263928304655e-05,4.495749089642503e-07,0.19338446278006793,42,14,0.019676232959673703,625,138,COMPLETE
1823,1823,0.2471340877383575,2023-06-10 17:51:06.510107,2023-06-10 17:51:06.854618,0 days 00:00:00.344511,7,0.7318499808600092,2.2661444971961637e-05,1.2854388181876197e-06,0.2108351992516773,137,14,0.0767436620818463,585,13,COMPLETE
140,140,0.24719958128960978,2023-06-10 17:47:06.926358,2023-06-10 17:47:07.042115,0 days 00:00:00.115757,4,0.7453072969096675,1.0827855272605491e-05,6.723060307705832e-07,0.21453384270139536,151,13,0.030694359123717194,707,10,COMPLETE
3632,3632,0.24772216874755004,2023-06-10 18:00:58.647703,2023-06-10 18:00:59.163574,0 days 00:00:00.515871,3,0.951187294461521,2.23941709296249e-05,0.0003922211526689735,0.2606778501044293,51,19,0.04676678661742816,666,145,COMPLETE
1028,1028,0.2477637627556355,2023-06-10 17:48:42.333603,2023-06-10 17:48:42.524700,0 days 00:00:00.191097,7,0.8731465968078661,0.001782300007633088,0.002038916747502293,0.2965801222321485,72,17,0.08841031539274105,564,117,COMPLETE
3642,3642,0.24781936204556554,2023-06-10 18:01:03.192481,2023-06-10 18:01:03.740103,0 days 00:00:00.547622,3,0.9696172782317927,4.3635516385178695e-05,0.0004255209890480007,0.2591201677744458,55,21,0.043484981877098317,687,154,COMPLETE
2950,2950,0.2486308817084148,2023-06-10 17:56:28.796743,2023-06-10 17:56:29.161106,0 days 00:00:00.364363,7,0.81921318910996,0.0002087382478529511,2.41427284219095e-08,0.25736669606562185,57,17,0.04466337501411556,571,125,COMPLETE
2355,2355,0.2490938674380349,2023-06-10 17:53:21.209419,2023-06-10 17:53:21.534922,0 days 00:00:00.325503,4,0.7232387521229625,0.04602828702869306,1.0119918971152514e-08,0.1969219315656199,50,10,0.028356662355499395,603,101,COMPLETE
1643,1643,0.24921836442658835,2023-06-10 17:50:27.627962,2023-06-10 17:50:27.879908,0 days 00:00:00.251946,6,0.9770476308275581,2.1619687976114768e-05,6.227750582142352e-08,0.2618713262227362,47,14,0.03895476766627027,560,13,COMPLETE
3819,3819,0.2500310833254159,2023-06-10 18:02:28.209740,2023-06-10 18:02:28.771157,0 days 00:00:00.561417,3,0.6932838161366726,0.00018248411677890698,1.4502437100673864e-05,0.25292359713904283,41,17,0.04186717787178197,675,39,COMPLETE
321,321,0.2517281596017687,2023-06-10 17:47:21.159364,2023-06-10 17:47:21.280217,0 days 00:00:00.120853,3,0.7286536385941008,1.756735646557354e-05,4.729011118241806e-08,0.29993589593899844,179,13,0.04486292235032016,954,102,COMPLETE
2870,2870,0.2517494840052802,2023-06-10 17:56:00.069202,2023-06-10 17:56:00.512289,0 days 00:00:00.443087,7,0.8103204371389012,2.6436144369420995e-06,6.796836648870457e-08,0.2587457593253377,177,19,0.04889161542024991,568,139,COMPLETE
2682,2682,0.2541544593006251,2023-06-10 17:54:58.536332,2023-06-10 17:54:58.883419,0 days 00:00:00.347087,3,0.755586783371653,0.013606742747075703,0.40813493694370845,0.22101586951163485,189,13,0.0263136746789189,550,203,COMPLETE
1432,1432,0.25459706935174714,2023-06-10 17:49:47.080638,2023-06-10 17:49:47.305143,0 days 00:00:00.224505,4,0.986373466665387,1.2260564533136243e-07,2.196071127532631,0.252584635949671,180,9,0.02416483156544619,644,192,COMPLETE
1676,1676,0.2546700060935985,2023-06-10 17:50:34.524036,2023-06-10 17:50:34.784891,0 days 00:00:00.260855,6,0.8629776673198114,0.058069164539968784,4.987285474415321e-05,0.1908683313332026,36,9,0.03137524260348709,561,8,COMPLETE
935,935,0.2549501767276097,2023-06-10 17:48:29.599576,2023-06-10 17:48:29.772528,0 days 00:00:00.172952,4,0.8559835903914564,8.53211104425e-08,3.8320315578412334,0.2995232865761009,76,16,0.06066963597249049,538,211,COMPLETE
4567,4567,0.25497471577575753,2023-06-10 18:08:53.612060,2023-06-10 18:08:54.261255,0 days 00:00:00.649195,4,0.7459143088643967,2.868875568322726e-05,8.675996398921752e-07,0.2606663211385628,47,17,0.04669454798227849,630,69,COMPLETE
3382,3382,0.25504802392512155,2023-06-10 17:59:11.246262,2023-06-10 17:59:11.753193,0 days 00:00:00.506931,4,0.5635306445703949,0.00040934973106696785,3.858624707982692,0.2997342333342159,44,16,0.028906767224915544,690,127,COMPLETE
696,696,0.2550907036619873,2023-06-10 17:47:58.998865,2023-06-10 17:47:59.145234,0 days 00:00:00.146369,4,0.9328795800584371,1.9982339853434758e-05,5.5518526572415235e-05,0.2066249223892088,80,17,0.07753796565866133,600,98,COMPLETE
3851,3851,0.2556227075185408,2023-06-10 18:02:42.986893,2023-06-10 18:02:43.450558,0 days 00:00:00.463665,3,0.9513569641023538,0.013281007628256963,0.1591879070325276,0.23180422274959628,197,16,0.06468511928581586,629,135,COMPLETE
4149,4149,0.2556722132609989,2023-06-10 18:05:09.132030,2023-06-10 18:05:09.718432,0 days 00:00:00.586402,7,0.7041341114490735,4.5667348764410574e-08,1.7448442098379205e-08,0.26277803187677085,57,17,0.08555229693789917,648,133,COMPLETE
378,378,0.25755452055567235,2023-06-10 17:47:27.304507,2023-06-10 17:47:27.429381,0 days 00:00:00.124874,6,0.7978619207298314,9.463886652952323e-06,1.926656063414906e-07,0.2543748495771841,80,11,0.02890343900615353,563,135,COMPLETE
41,41,0.2586019088111461,2023-06-10 17:46:59.333902,2023-06-10 17:46:59.442188,0 days 00:00:00.108286,7,0.8151800176466146,5.377505932168584e-08,3.104647719831112e-08,0.29018254441144853,101,28,0.04036401071553097,603,173,COMPLETE
1021,1021,0.25876781676207966,2023-06-10 17:48:41.307317,2023-06-10 17:48:41.489372,0 days 00:00:00.182055,7,0.8473012538151586,2.715463952076148e-07,0.0004986028910594787,0.25843038523748163,57,17,0.08692882851317292,448,122,COMPLETE
2556,2556,0.25881622374052776,2023-06-10 17:54:19.742174,2023-06-10 17:54:20.078644,0 days 00:00:00.336470,5,0.6924167026495193,0.0031858185470905894,0.019781106736770516,0.2323599379538009,51,23,0.07220320807548176,575,116,COMPLETE
2178,2178,0.2588519110868494,2023-06-10 17:52:33.928639,2023-06-10 17:52:34.210880,0 days 00:00:00.282241,4,0.7226842303854153,4.9016497353267734e-05,0.0003562820919483869,0.2583357594811412,86,18,0.0800688762450002,522,18,COMPLETE
238,238,0.2589284967071329,2023-06-10 17:47:14.577812,2023-06-10 17:47:14.732988,0 days 00:00:00.155176,4,0.5638844437237786,2.304364452204529e-07,3.627637333018952e-08,0.17871672123142385,106,13,0.033262499611788496,648,118,COMPLETE
1644,1644,0.25895152426070805,2023-06-10 17:50:27.880798,2023-06-10 17:50:28.190466,0 days 00:00:00.309668,6,0.6165662857149443,2.072697853422838e-05,1.8927301833864014e-05,0.26392005949545577,44,11,0.038888518789577116,549,6,COMPLETE
128,128,0.25897174515986465,2023-06-10 17:47:05.998377,2023-06-10 17:47:06.110207,0 days 00:00:00.111830,3,0.7481605971987669,0.00011037144406473681,1.4046165890818833e-06,0.208729183335076,185,14,0.045846709001264495,637,140,COMPLETE
631,631,0.25905325930228396,2023-06-10 17:47:51.775880,2023-06-10 17:47:51.929892,0 days 00:00:00.154012,3,0.872044610936807,5.05645897268763e-07,2.763123744063934,0.22573827671904192,121,10,0.02432273310239639,579,61,COMPLETE
95,95,0.25909005353431325,2023-06-10 17:47:03.050621,2023-06-10 17:47:03.159888,0 days 00:00:00.109267,6,0.8138947164575062,1.995018616372336e-06,2.122856191897713e-07,0.29876542739350004,100,15,0.04740845244880269,548,171,COMPLETE
4712,4712,0.25921386052926976,2023-06-10 18:10:16.758861,2023-06-10 18:10:17.400624,0 days 00:00:00.641763,5,0.9779893543215801,0.6159003778317685,0.00013131540172623004,0.29819135323248774,50,12,0.08816683674821575,378,129,COMPLETE
1245,1245,0.25930452428772416,2023-06-10 17:49:15.148575,2023-06-10 17:49:15.368686,0 days 00:00:00.220111,4,0.7402651383250184,0.0003125022988054621,0.0003899142267150916,0.26167179789767314,83,14,0.013669605132531078,579,141,COMPLETE
3880,3880,0.26050450424906774,2023-06-10 18:02:56.442589,2023-06-10 18:02:56.975253,0 days 00:00:00.532664,4,0.9542544913158824,4.883842441146628e-06,0.019127174678872153,0.2997863098370915,193,15,0.013253848146509583,704,120,COMPLETE
1091,1091,0.2609759894467468,2023-06-10 17:48:51.507579,2023-06-10 17:48:51.694488,0 days 00:00:00.186909,4,0.9776224917111942,1.248754437801746e-07,3.2661397500394495e-08,0.22980886318463162,56,17,0.06695246514458515,720,139,COMPLETE
508,508,0.2610903290412304,2023-06-10 17:47:39.073159,2023-06-10 17:47:39.208558,0 days 00:00:00.135399,3,0.8287503833520622,0.00023012988389096376,0.005466305196749363,0.23538246013513273,162,8,0.04309406554628314,610,135,COMPLETE
4505,4505,0.26137274083565676,2023-06-10 18:08:19.392427,2023-06-10 18:08:20.044236,0 days 00:00:00.651809,4,0.6783347417123092,2.0502651072680585e-08,0.01722959241127116,0.23355165104089454,82,14,0.030017707864276537,703,122,COMPLETE
182,182,0.26137596945617503,2023-06-10 17:47:10.052936,2023-06-10 17:47:10.161891,0 days 00:00:00.108955,3,0.7565603488714893,9.151431549961393e-05,1.1954701542018824e-06,0.17068820552718317,172,11,0.03755914627755505,682,131,COMPLETE
